referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.state,location.city,allowMenuUrlEdit,location.postalCode,location.crossStreet,url,storeId,venuePage.id,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,venueChains.id,hasMenu,location.neighborhood,menu.externalUrl
v-1464363753,,198,1251,false,Australia,AU,92002,144.8708791514074,-37.791745777715974,insideEDGE Sport and Leisure Planning,5255def211d24d33ef38a998,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/basketballcourt_,Basketball Court,Basketball Courts,Basketball Court,4bf58dd8d48988d1e1941735,VIC,,,,,,,,,,,,,,,,
v-1464363753,,5,10,false,Australia,AU,109295,145.04348339966396,-37.877079241653455,Monash Uni Caulfield - Sport & Fitness Centre,4cac1a7d2f08236a33368961,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,College Gyms,College Gym,4bf58dd8d48988d1b2941735,,,,,,,,,,,,,,,,,
v-1464363753,,520,2658,false,Australia,AU,98586,144.95620667888713,-37.766590266216774,Brunswick Sport Stadium,53d56fd0498e87e251c2f9aa,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,,,,,,,,,,,,,,,,,
v-1464363753,,88,195,false,Australia,AU,99890,144.96227145195007,-37.79619516102867,Sports Centre,4be906a14485d13ae81c94ee,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,College Gyms,College Gym,4bf58dd8d48988d1b2941735,,,,,,,,,,,,,,,,,
v-1464363753,,25,193,true,Australia,AU,96021,144.92561101913452,-37.76881501410438,The Sporting Globe,51776074c84c4657214a58d4,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,College Gyms,College Gym,4bf58dd8d48988d1b2941735,,,,,,,,,,,,,,,,,
v-1464363753,,1,1,false,Australia,AU,100025,144.9618746065149,-37.802094927353814,Melbourne University Gym and Sport Center,526e2366498ee3fd8486084e,true,.png,https://ss3.4sqi.net/img/categories_v2/building/government_,Government,Government Buildings,Government Building,4bf58dd8d48988d126941735,,,,,,,,,,,,,,,,,
v-1464363753,,58,345,false,Australia,AU,96229,144.941825,-37.715748,Brunswick Sport Stadium,53d78538498e2596b58d5ecf,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,,,,,,,,,,,,,,,,,
v-1464363753,,1,4,false,Australia,AU,114249,145.11422395706177,-37.8464095215541,Deakin University Building HB (Sport Hall),4d118e70ed9437048cad1862,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,,,,,,,,,,,,,,,,,
v-1464363753,,9,20,false,Australia,AU,102604,144.979077,-37.838673,Sport And Recreation Victoria,4d5479e7cff7721e1df69ef5,true,.png,https://ss3.4sqi.net/img/categories_v2/building/gym_,Gym,College Gyms,College Gym,4bf58dd8d48988d1b2941735,,,,,,,,,,,,,,,,,
v-1464363753,,225,329,false,Australia,AU,91572,144.88881779928366,-37.71265931514981,Skyways Sports Bar,5279916611d2c71001ab663a,,,,,,,,,,,,,,,,,,,,,,,,
v-1464363753,,1,24,true,Australia,AU,100258,144.95700359344482,-37.823446517485934,Sports Bar,4d6211d0196ba0932d932c56,,,,,,,,,,,,,,,,,,,,,,,,
v-1464363753,,,,false,Australia,AU,100018,144.96174554129243,-37.80223815907179,Australian College of Sport Fitness,54cab7d6498e5e3d960b311e,,,,,,,,,,,,,,,,,,,,,,,,
v-1464363753,2,47,79,false,Australia,AU,19,150.8932890606943,-34.42520631799717,Rebel Sport,4cfb0bd2dccef04d2336b99c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Wollongong,true,2500,Keira St,http://www.northgongindoorsports.com.au,,99819503,https://foursquare.com/v/4b52c4eff964a520b98727e3/device_menu,https://foursquare.com/v/bankstown-sports-club/4b52c4eff964a520b98727e3/menu,View Menu,Menu,Menu,5569ef78a7c8896abe7be790,true,,
v-1464363753,2,4,5,false,Australia,AU,565,150.8932777004847,-34.430152347535106,Sportsgirl,4cf73fee64e3721ef2ec25c8,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Apparel,Clothing Stores,Clothing Store,4bf58dd8d48988d103951735,NSW,Wollongong,true,2500,200 Gilchrist Dr.,http://www.rebelsport.com.au,,,,,,,,,,,
v-1464363753,1,1,3,false,Australia,AU,233,150.895676,-34.425308,Health And Sports Centre,4e028830e4cdbd9a5174cb87,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_,Pharmacy,Pharmacies,Pharmacy,4bf58dd8d48988d10f951735,NSW,Wollongong,true,2522,in Westfield Miranda,http://www.rebelsport.com.au,,,,,,,,,,,
v-1464363753,1,1,1,false,Australia,AU,331,150.889852,-34.426283,Rydges Sports Bar,4ce7ea6d75c62c0f73eee557,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,NSW,Wollongong,true,2500,Westfield,http://www.dsr.nsw.gov.au/berry/,,,,,,,,,,,
v-1464363753,6,2,3,false,Australia,AU,972,150.88890075683594,-34.41707229614258,Illawarra Sports Medicine Clinic,4f3b577ce4b04bfb59e1925d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/spa_,Spa,Spas,Spa,4bf58dd8d48988d1ed941735,NSW,West Wollongong,true,2560,at George St.,http://www.rebelsport.com.au,,,,,,,,,,,
v-1464363753,3,10,73,false,Australia,AU,913,150.888501,-34.43233,BaiMed Physiotherapy & Sports Injury,4d1057c538bb6ea866edc3aa,true,.png,https://ss3.4sqi.net/img/categories_v2/building/medical_,Medical,Medical Centers,Medical Center,4bf58dd8d48988d104941735,NSW,Wollongong,true,2228,Broadway Shopping Centre,http://www.rebelsport.com.au,,,,,,,,,,,
v-1464363753,1,7,19,false,Australia,AU,6796,150.88954591767998,-34.486055243732984,Rebel Sport Warrawong,51490d28e4b09c3e6ffadc5b,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,North Wollongong,true,2210,off Homebush Bay Dr,http://www.nswis.com.au,,,,,,,,,,,
v-1464363753,1,1,4,false,Australia,AU,2040,150.8724445085653,-34.43172998632694,Escarpment Orthopaedics & Sports,559a1548498e6d86f51313b5,true,.png,https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_,Doctor's Office,Doctor's Offices,Doctor's Office,4bf58dd8d48988d177941735,NSW,Campbelltown,true,2220,Olympic Blvd.,http://www.rebelsport.com.au,,,,,,,,,,,
v-1464363753,1,91,256,false,Australia,AU,2633,150.8800322751219,-34.40403064055657,UOW Sports Hub,4b9ee2f7f964a5208a0837e3,true,.png,https://ss3.4sqi.net/img/categories_v2/education/reccenter_,Rec Center,College Rec Centers,College Rec Center,4bf58dd8d48988d1a9941735,NSW,Campbelltown,true,2535,at Liverpool St.,http://www.ssashirts.com.au,,,,,,,,,,,
v-1464363753,17,18,104,false,Australia,AU,2441,150.8956690433528,-34.4032435809805,North Wollongong Indoor Sports,4ca2fec0a73cb60c87d01478,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,NSW,Miranda,true,2216,Beresford Avenue,http://www.bankstownsports.com,,,,,,,,,,,
v-1464363753,10,3,4,false,Australia,AU,40589,150.80085091119338,-34.068522603065546,In Sport,4e8cfeb161af7424da775afd,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Apparel,Clothing Stores,Clothing Store,4bf58dd8d48988d103951735,NSW,Riverwood,true,2000,Lvl 3 Shop 3023, Westpoint,http://www.star.com.au,,,,,,,,,,,
v-1464363753,1,39,67,false,Australia,AU,40100,150.79727468060807,-34.073671132639745,Rebel Sport,4ba170f4f964a52060b737e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Hurstville,true,2007,80 Pyrmont St.,http://www.billowsport.com,,,,,,,,,,,
v-1464363753,1,76,147,false,Australia,AU,47371,151.099508,-34.035221,Rebel Sport,4c1459a177cea5935996d060,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Berry,true,2138,Unit 17,,,,,,,,,,,,
v-1464363753,1,2,2,false,Australia,AU,54747,151.05181,-33.951098,Riverwood Sport & Recreation Club,4d2691368292236aeeef07bb,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,NSW,Rockdale,true,2127,,,,,,,,,,,,,
v-1464363753,3,7,8,false,Australia,AU,54651,151.10522747039795,-33.96653378338086,In Sport,4d36424d3612a093aea97d5d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Sydney,true,2112,,,,,,,,,,,,,
v-1464363753,1,2,2,false,Australia,AU,41266,150.822133,-34.059047,Just Sport,50f4c6dbe4b0ebcba1ae9cc9,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Broadway,true,2200,,,,,,,,,,,,,
v-1464363753,1,14,26,false,Australia,AU,44602,150.7031536102295,-34.79397299841216,Berry Sport and Recreation Centre,4d849330f974cbff776ff4ab,true,.png,https://ss3.4sqi.net/img/categories_v2/building/conventioncenter_,Convention Center,Convention Centers,Convention Center,4bf58dd8d48988d1ff931735,NSW,Rhodes,true,2000,,,,,,,,,,,,,
v-1464363753,,2,3,false,Australia,AU,44484,150.814026,-34.030853,Eschol Park Sport Complex,4d5b83d9b815b60c9b224c16,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_soccer_,Soccer Field,Soccer Fields,Soccer Field,4cce455aebf7b749d5e191f5,NSW,Sydney Olympic Park,true,2150,,,,,,,,,,,,,
v-1464363753,,11,46,false,Australia,AU,45906,150.81094996575908,-34.01832054404819,Kearns Sport Complex,4c943f49f7cfa1cd8170b215,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/field_,Field,Fields,Field,4bf58dd8d48988d15f941735,NSW,Ryde,true,2204,,,,,,,,,,,,,
v-1464363753,,61,379,false,Australia,AU,56792,151.140094,-33.95757,Rebel Sport,4c3fe604da3dc928f2a6c6b9,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,New South Wales,Sydney,true,2101,,,,,,,,,,,,,
v-1464363753,,552,919,false,Australia,AU,68338,151.20705967331864,-33.868853165038686,Rebel Sport,4b3957aaf964a520fa5a25e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Parramatta,true,2770,,,,,,,,,,,,,
v-1464363753,,1,1,false,Australia,AU,48796,150.59022728503925,-34.06528241415444,Oaks Sport Horses,53cf0508498e35f1683f4301,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/farm_,Farm,Farms,Farm,4bf58dd8d48988d15b941735,NSW,Bankstown,true,2148,,,,,,,,,,,,,
v-1464363753,,306,593,false,Australia,AU,66308,151.19470596313477,-33.88420425992303,Rebel Sport,4dc61354d164eb9ca000b091,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Marrickville,true,2200,,,,,,,,,,,,,
v-1464363753,,4,4,false,Australia,AU,67946,151.08445644378662,-33.83559538593856,Go Sport - Rhodes Shopping Centre,4c71f0018efc3704e7e9117d,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Bondi Junction,true,2009,,,,,,,,,,,,,
v-1464363753,,60,469,true,Australia,AU,66056,151.07093811035156,-33.8502094661528,New South Wales Institute Of Sport,4e7fa21c8b815ae51f5e5f60,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,NSW,Narrabeen,true,2067,,,,,,,,,,,,,
v-1464363753,,5,6,false,Australia,AU,54768,151.10565,-33.96554,Rebel Sport,56694830498e61f1fff30d26,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Lakemba,true,2161,,,,,,,,,,,,,
v-1464363753,,65,108,false,Australia,AU,70965,151.10603169982102,-33.81242169691107,Rebel Sport,4ce73effbaa6a1cd549d266c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,My Druitt,true,,,,,,,,,,,,,,
v-1464363753,,7,17,false,Australia,AU,55690,151.00972452598091,-33.93417728016788,Fitness And Sport Warehouse,4eeeae0361af1accb02ac1db,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Blacktown,true,,,,,,,,,,,,,,
v-1464363753,,7,7,false,Australia,AU,56239,151.03958773500818,-33.93460603744349,Just Sport,51eb7df7498eecb9a561d1e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Bankstown,true,,,,,,,,,,,,,,
v-1464363753,,158,230,false,Australia,AU,67472,151.20648622512817,-33.87722110953139,Rebel Sport,4bdbd3473904a59353394c9e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Pyrmont,true,,,,,,,,,,,,,,
v-1464363753,,101,180,false,Australia,AU,68348,151.00276125447303,-33.81782423677741,Rebel Sport,4ba03504f964a520906137e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Chatswood,true,,,,,,,,,,,,,,
v-1464363753,,3,9,false,Australia,AU,59361,151.038623,-33.905578,School Sport Unit,4fb1c2d1e4b0e2be9a1bcb80,true,.png,https://ss3.4sqi.net/img/categories_v2/building/school_,School,Schools,School,4bf58dd8d48988d13b941735,NSW,Sydney,true,,,,,,,,,,,,,,
v-1464363753,,162,278,false,Australia,AU,62384,151.15728378295898,-33.90903256742058,Sport Shirts Australia,53f5d910498ee6361de5749a,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/apparel_men_,Men's Store,Men's Stores,Men's Store,4bf58dd8d48988d106951735,NSW,Rosebery,true,,,,,,,,,,,,,,
v-1464363753,,163,419,false,Australia,AU,67961,151.2516028316905,-33.89146044067522,Rebel Sport,4b1479c8f964a5209aa323e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,Maroubra,,,,,,,,,,,,,,,
v-1464363753,,4,6,false,Australia,AU,85802,151.2650442123413,-33.71852142747723,Sydney Academy of Sport and Recreation,4bce371acc8cd13a2e01c4cf,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/field_,Field,Fields,Field,4bf58dd8d48988d15f941735,New South Wales,Kensington,,,,,,,,,,,,,,,
v-1464363753,,5,6,false,Australia,AU,58184,151.1211112141609,-33.937598905540504,Lakemba sport club,4e94dbce8b81c70709890e83,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,NSW,,,,,,,,,,,,,,,,
v-1464363753,,5,9,false,Australia,AU,63581,151.13210180231172,-33.8892257132113,Sport Bar,4f93f018e4b0f6392598e0cf,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,NSW,,,,,,,,,,,,,,,,
v-1464363753,,67,145,false,Australia,AU,73620,150.81951681293137,-33.76654079652261,In Sport Westfields Mt Druitt,4df59ffd6284fefe8fc9a587,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,,,,,,,,,,,,,,,
v-1464363753,,839,1724,false,Australia,AU,72926,150.9059959873526,-33.7700417817962,Rebel Sport,4c69d50a8e7c0f477cc4e00f,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,,,,,,,,,,,,,,,,,
