referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.mayNotNeedAddress,allowMenuUrlEdit,venueChains.id,url,location.city,location.state,location.postalCode,location.crossStreet,storeId,location.neighborhood,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,menu.externalUrl,hasMenu
v-1460742714,,4,4,true,United Kingdom,GB,92107,-2.96569204,56.45801163,Costa Coffee,50ca02c5245f2d4aa8c2c5c9,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,,,,,,,,,,,,,
v-1460742714,,49,168,false,United Kingdom,GB,97189,-3.3348449,57.712228,Costa Coffee,50aa29dfe4b0bb7b5c6975e6,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,,,,,,,,,,,,,
v-1460742714,,55,123,false,United Kingdom,GB,88269,-2.877604544162753,56.467581600561346,Costa Coffee,4c178188c2dfc928e316a869,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.facebook.com/waterstones,,,,,,,,,,,,,
v-1460742714,,2,13,false,United Kingdom,GB,91764,-3.313772678375244,57.64874213528814,Costa Coffee,50b4bed4011c4d55e5bf69f4,true,.png,https://ss3.4sqi.net/img/categories_v2/food/cafe_,Café,Cafés,Café,4bf58dd8d48988d16d941735,false,true,556e146fa7c82e6b725097d5,http://www.costa.co.uk,,,,,,,,,,,,,
v-1460742714,,12,93,false,United Kingdom,GB,95946,-3.310417436108879,57.710267687114666,RAF Lossie Costa Coffee,55b781bb498edc93f13b8f6c,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,556ca2e1a7c87f63786a7756,,,,,,,,,,,,,,
v-1460742714,,106,256,false,United Kingdom,GB,102414,-3.8052163826525183,57.17488728054973,Costa Coffee,4f3bd59fe4b0ad1bcaa0047f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,,,,,,,,,,,,,,
v-1460742714,,31,123,true,United Kingdom,GB,102365,-3.80446291,57.17374039,Costa Coffee,50ca02c3245f2d4aa8c2bee8,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/bookstore_,Bookstore,Bookstores,Bookstore,4bf58dd8d48988d114951735,false,true,,,,,,,,,,,,,,,
v-1460742714,,,,true,United Kingdom,GB,91872,-2.9677248001098633,56.46132867666808,Waterstones,4bc31234461576b0a1167e32,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,,,,,,,,,,,,,,,
v-1460742714,,,,false,United Kingdom,GB,104870,-3.626412,57.608108,Costa Coffee,4ba11d0cf964a5200c9937e3,,,,,,,,,,,,,,,,,,,,,,,,
v-1460742714,2,46,57,false,United Kingdom,GB,1142,-4.221622065813731,57.47922646660754,Costa Coffee,509507a5e4b0a70262651a89,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,false,true,5569efbaa7c8896abe7bf070,http://www.costa.co.uk,Inverness,Highland,IV 1 1,Eastgate Shopping Cntr,680,,,,,,,,
