referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,venueChains.id,location.city,location.postalCode,url,location.state,storeId,location.crossStreet,location.neighborhood,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,menu.externalUrl,hasMenu,venuePage.id
v-1461925477,6,468,1896,true,United Kingdom,GB,73887,-6.231538036312111,54.73043047058004,Starbucks,4ceab7729f776ea867546a22,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT9 7GU,http://starbucks.co.uk,Co Louth,12735,,,,,,,,,,
v-1461925477,10,277,2021,true,United Kingdom,GB,98092,-5.932434056564316,54.58682139731095,Starbucks,4b5b90cbf964a5208c0729e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Craigavon,BT64 1AA,http://starbucks.co.uk,,12548,,,,,,,,,,
v-1461925477,9,119,1385,true,United Kingdom,GB,97251,-5.960253529069905,54.57237209161104,Starbucks,4b52fdcff964a520188c27e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT1 1DD,http://starbucks.co.uk,,12632,,,,,,,,,,
v-1461925477,1,405,815,true,United Kingdom,GB,83080,-6.390438079833984,54.44993157100651,Starbucks,4c18a66dfe5a76b0e24b0215,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Sligo,BT35 8QS,http://starbucks.co.uk,,12668,,,,,,,,,,
v-1461925477,5,15,86,true,United Kingdom,GB,97489,-5.930907741817245,54.600666,Starbucks,4b923650f964a5209aec33e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Newry,BT32 4LF,http://starbucks.co.uk,,,,,,,,,,,,
v-1461925477,1,95,541,false,Ireland,IE,108104,-8.460172201160495,54.27849923828604,Starbucks @Institute of Technology Sligo,5052f927e4b0359ed4a2fc2e,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,BT7 1NF,,,,,,,,,,,,,
v-1461925477,9,19,50,true,United Kingdom,GB,109549,-6.339857,54.168364,Starbucks,4bb740d6941ad13af26920e3,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Banbridge,,,,,,,,,,,,,,
v-1461925477,1,212,505,false,United Kingdom,GB,97699,-5.928561687469482,54.59916868203161,Starbucks,55996e66498e6e3d411f09f6,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,556f676fbd6a75a99038d8ec,Belfast,,,,,,,,,,,,,,
v-1461925477,5,5,14,true,United Kingdom,GB,97773,-6.276329,54.331305314285714,Starbucks,4bfe450af61dc9b6092ba0de,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,,Dundalk,,,,,,,,,,,,,,
v-1461925477,2,4,5,false,United Kingdom,GB,97894,-5.9376060962677,54.584890003568034,Starbucks At Relish,5142f3e3e4b082a12f781996,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,,Dundalk,,,,,,,,,,,,,,
v-1461925477,0,26,206,false,United Kingdom,GB,98639,-5.935631,54.572625,Starbucks Betty's,505611a5e4b0359ed6622902,true,.png,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_,Coffee Shop,Coffee Shops,Coffee Shop,4bf58dd8d48988d1e0931735,true,,,,,,,,,,,,,,,,
