referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,allowMenuUrlEdit,location.city,location.state,location.postalCode,url,location.crossStreet,venuePage.id,storeId,menu.externalUrl,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type
v-1461333071,,,,false,United Kingdom,GB,34662,-4.258915914417357,55.86476900629266,Hell On Earth,4ee5f16be5faffd733047c80,,,,,,,,,,,,,,,,,,,,,
v-1461333071,0,3,15,false,United Kingdom,GB,83859,-3.17463486,51.43949057,Hello Gorgeous!,4c1268c57f7f2d7f8338dd68,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics,Cosmetics Shops,Cosmetics Shop,4bf58dd8d48988d10c951735,true,Penarth,Cardiff,CF6 4 1,http://www.hellodelibristol.co.uk,,136946909,,,,,,,
v-1461333071,,1,5,false,United Kingdom,GB,87793,-3.168658,51.475319,Hello Starling,5396fe46498e14bd1caf126f,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Advertising Agency,Advertising Agencies,Advertising Agency,52e81612bcbc57f1066b7a3d,true,Butetown,Bath and North East Somerset,CF10 1de,,,,,,,,,,
v-1461333071,,2,20,false,United Kingdom,GB,99301,-2.122643,50.684502,Hello Fresh Time,56a27af9498ecca51e612c80,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Bistro,Bistros,Bistro,52e81612bcbc57f1066b79f1,true,Bath and North East Somerset,Bristol,BS7 0BE,,,,,,,,,,
v-1461333071,,3,7,false,United Kingdom,GB,87719,-3.180734,51.476868,Hell On Earth,4bd0a66c046076b020697071,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/design_,Design,Design Studios,Design Studio,4bf58dd8d48988d1f4941735,true,Bristol,Dorset,BH8 8UH,,,,,,,,,,
v-1461333071,,5,13,false,United Kingdom,GB,103411,-2.609557641990882,51.44709996089366,Hello Blue,4ffac46de4b0fe7c228db601,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,true,Bournemouth,,,,,,,,,,,,
v-1461333071,,1,1,false,United Kingdom,GB,104614,-2.594975,51.453661,Hello Charlie,4d4159ddc1d4721e24aa18c7,true,.png,https://ss3.4sqi.net/img/categories_v2/food/cafe_,Café,Cafés,Café,4bf58dd8d48988d16d941735,,,,,,,,,,,,,,
v-1461333071,,0,0,false,United Kingdom,GB,104822,-2.5927090644836426,51.45491614198447,Hello Cocoa,5580d347498e50a8151b4089,true,.png,https://ss3.4sqi.net/img/categories_v2/food/deli_,Deli / Bodega,Delis / Bodegas,Deli / Bodega,4bf58dd8d48988d146941735,,,,,,,,,,,,,,
v-1461333071,,,,true,United Kingdom,GB,109136,-2.5742537999999513,51.4953195,Hello Deli,55ca18be498e8bf31b8a3214,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,Driving School,Driving Schools,Driving School,52e81612bcbc57f1066b7a42,,,,,,,,,,,,,,
v-1461333071,,,,false,United Kingdom,GB,116954,-1.8703901767730713,50.73111097963459,Hello Driving School,503d1cf1b0ed55adf5e5de2e,,,,,,,,,,,,,,,,,,,,,
v-1461333071,1,1,1,false,United Kingdom,GB,25148,-1.125571,52.929223,Hello Gorgeous,4bc079b44cdfc9b683df9221,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/beauty_cosmetic_,Cosmetics,Cosmetics Shops,Cosmetics Shop,4bf58dd8d48988d10c951735,true,Newark on Trent,Nottinghamshire,NG24 4BQ,http://www.hellobaby4dscan.co.uk,,,,,,,,,
v-1461333071,2,4,5,false,United Kingdom,GB,48981,-0.8136856555938721,53.071584707803446,Hello Shanghai,4c3371a866e40f470a03c88b,true,.png,https://ss3.4sqi.net/img/categories_v2/food/asian_,Chinese,Chinese Restaurants,Chinese Restaurant,4bf58dd8d48988d145941735,true,Sheffield,Lancashire,M22 8AY,,,,,,,,,,
