referralId,stats.tipCount,stats.usersCount,stats.checkinsCount,verified,location.country,location.cc,location.distance,location.lng,location.lat,name,id,categories.primary,categories.icon.suffix,categories.icon.prefix,categories.shortName,categories.pluralName,categories.name,categories.id,location.state,location.city,allowMenuUrlEdit,location.postalCode,url,location.crossStreet,venueChains.id,storeId,menu.mobileUrl,menu.url,menu.anchor,menu.label,menu.type,hasMenu,venuePage.id,location.neighborhood,menu.externalUrl
v-1464363687,,2,4,false,Canada,CA,1900,-111.363,56.7243,Habitual sports,535c176e498e7d01f7940c1a,true,.png,https://ss3.4sqi.net/img/categories_v2/food/burger_,Burgers,Burger Joints,Burger Joint,4bf58dd8d48988d16c941735,AB,Fort McMurray,true,,,,,,,,,,,,,,
v-1464363687,,50,125,false,Canada,CA,1900,-111.38476967811584,56.72686793536277,Longshots Sports Bar,4b5e8b9ff964a520379229e3,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,,,true,,,,,,,,,,,,,,
v-1464363687,,3,5,false,Canada,CA,3398,-111.3505,56.684124,Victory Sports Bar,518f010d498e971bd7bea6f6,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,,,,,,,,,,,,,,,,,
v-1464363687,,4,4,false,Canada,CA,36107,-111.04235947021662,56.44425339378174,Anzac Sports Centre,51ded1d3498e31445f98a855,,,,,,,,,,,,,,,,,,,,,,,,
v-1464363687,1,17,53,false,Canada,CA,2582,-77.78712283295887,48.10250726841875,Bar Au Sport,4efab835be7bb4785089f235,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,Bars,Bar,4bf58dd8d48988d116941735,QC,Val-d'Or,true,J9P 5K1,http://carrefourdunordouest.com,,5569fe7da7c8896abe7dbf9c,,,,,,,,,,
v-1464363687,1,2,2,false,Canada,CA,1465,-77.826715,48.097619,Sports Experts,560c905c498e427b7c647640,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QC,Val-d'Or,true,J9X 4P2,http://www.cage.ca,,5569fe7da7c8896abe7dbf9c,,,,,,,,,,
v-1464363687,1,91,187,true,Canada,CA,1344,-77.82182200827891,48.09797912266821,Cage aux Sports,4e8e7f76b63430010bfa6dd1,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,Restaurants,Restaurant,4bf58dd8d48988d1c4941735,QC,Val-d'Or,true,J0Z 1Y1,http://www.cage.ca,,,,,,,,,,,,
v-1464363687,0,11,14,false,Canada,CA,2753,-77.801378,48.088623,Club Sports Belvedere,5138999ae4b0515b31820911,true,.png,https://ss3.4sqi.net/img/categories_v2/building/default_,Building,Buildings,Building,4bf58dd8d48988d130941735,QC,Val-d'Or,true,,http://www.sourceforsports.com/Stores/13-La-Source-du-Sport-Rouyn-Noranda.aspx,,,,,,,,,,,,
v-1464363687,,28,224,false,Canada,CA,55492,-78.111298,48.569364,Complexe Sportif,4e45257d1838e44e89957bfa,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_hockey_,Hockey,Hockey Arenas,Hockey Arena,4bf58dd8d48988d185941735,QC,Amos,true,,http://www.cage.ca,,,,,,,,,,,,
v-1464363687,,1,1,false,Canada,CA,56461,-78.10552978515625,48.58036804199219,Cage aux Sports,5389f6a2498e379b2c87a94f,true,.png,https://ss3.4sqi.net/img/categories_v2/food/bbqalt_,BBQ,BBQ Joints,BBQ Joint,4bf58dd8d48988d1df931735,QC,Amos,true,,http://www.motosportducuivre.com,,,,,,,,,,,,
v-1464363687,,10,79,false,Canada,CA,90293,-79.02034,48.241233,Belisle La Source Du Sport,4f63420ee4b02cbb7ddb8383,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QC,Rouyn-Noranda,true,,,,,,,,,,,,,,
v-1464363687,,2,2,false,Canada,CA,90270,-79.0200662612915,48.241095366223604,La Source du Sport Rouyn-Noranda,55ee8654498e0bee1d8a031e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,QC,Rouyn-Noranda,true,,,,,,,,,,,,,,
v-1464363687,,3,3,false,Canada,CA,90813,-79.022893,48.259397,Moto Sport De La Capitale,514b0156e4b0bb06fcae1118,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/motorcycle_,Motorcycle Shop,Motorcycle Shops,Motorcycle Shop,5032833091d4c4b30a586d60,QC,Rouyn-Noranda,true,,,,,,,,,,,,,,
v-1464363687,,4,9,false,Canada,CA,90378,-79.02184501237335,48.23978218213006,sports experts,4f63460ee4b045ea91b2f69c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,true,,,,,,,,,,,,,,
v-1464363687,,73,189,false,Canada,CA,90399,-79.022141,48.239716,Sports Experts / Atmosphère,52bdc2b9498e2aa431f19b4e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,true,,,,,,,,,,,,,,
v-1464363687,,2,3,true,Canada,CA,89105,-79.0074,48.226541,Cage aux Sports,4d9e2d0a4811a1cd888ce7ed,true,.png,https://ss3.4sqi.net/img/categories_v2/food/default_,Restaurant,Restaurants,Restaurant,4bf58dd8d48988d1c4941735,,,true,,,,,,,,,,,,,,
v-1464363687,,13,22,false,Canada,CA,96121,-79.0993689,48.2433671,Moto Sport Du Cuivre Inc,56356cfc498e5e231d351660,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/motorcycle_,Motorcycle Shop,Motorcycle Shops,Motorcycle Shop,5032833091d4c4b30a586d60,,,,,,,,,,,,,,,,,
v-1464363687,,,,false,Canada,CA,96592,-79.106037,48.242256,Moto Sport Du Cuivre,514afcffe4b0808525de22ff,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/pub_,Bar,Bars,Bar,4bf58dd8d48988d116941735,,,,,,,,,,,,,,,,,
v-1464363687,,,,false,Canada,CA,90194,-79.01948487388303,48.23908472986111,Bar Le Sportif,4f18decbe4b02a5a23745d11,,,,,,,,,,,,,,,,,,,,,,,,
v-1464363687,1,36,230,true,Canada,CA,4796,-110.64773082733154,50.00655301653965,Sport Chek Medicine Hat,4ca4f4268a65bfb7c9472b22,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Medicine Hat,true,T1B 2X2,https://www.sportchek.ca,8 St. S.E.,556a384aa7c8957d73d54f0d,,https://foursquare.com/v/4b9317edf964a5208a3434e3/device_menu,https://foursquare.com/v/alabamas-sports-lounge/4b9317edf964a5208a3434e3/menu,View Menu,Menu,Menu,true,,,
v-1464363687,2,5,132,false,Canada,CA,1635,-110.71019004544411,50.03309558129265,The Ridge Spine And Sport Centre,4e7b838e1f6ed95dca8c37e2,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/spa_,Spa,Spas,Spa,4bf58dd8d48988d1ed941735,AB,Medicine Hat,true,T1B 2X2,http://www.sportchek.ca,,,,,,,,,,,,
v-1464363687,1,12,19,false,Canada,CA,4293,-110.65149477377096,50.010408012384765,Sport Mart,4ea313e1b80355a98205fd72,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Medicine Hat,true,T1A 2X5,http://www.sourceforsports.com/Stores/131-Sports-Connection-Medicine-Hat-Source-For-Sports.aspx,,,,,,,,,,,,
v-1464363687,0,7,8,false,Canada,CA,4858,-110.65156757281493,50.004010687508675,Sport Chek Medicine Hat,51bcbe5e498e557a563b7101,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Medicine Hat,true,T1A 2X5,http://www.sourceforsports.com/Stores/134-Sportside-Brooks-Source-For-Sports.aspx,,,,,,,,,,,,
v-1464363687,,10,13,false,Canada,CA,1873,-110.66840023671203,50.03046998817319,Sports Connection Source For Sports,4d976d62daec224bf82f303e,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Medicine Hat,true,T1A 7E2,,,,,,,,,,,,,
v-1464363687,,3,4,false,Canada,CA,5357,-110.65113,49.998862,Sports Connection,4c5576955b8395211ebbe931,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Medicine Hat,true,S0N 1N0,,,,,,,,,,,,,
v-1464363687,,2,9,false,Canada,CA,1742,-110.665849,50.037876,Moto Sports,4d702ba171d3a1432f9c4750,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,AB,Medicine Hat,true,T1R 1B3,,,,,,,,,,,,,
v-1464363687,,18,81,false,Canada,CA,1668,-110.699173,50.053779,Alabama's Sports Lounge,4b9317edf964a5208a3434e3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Shop,Miscellaneous Shops,Miscellaneous Shop,4bf58dd8d48988d1ff941735,AB,Irvine,true,,,,,,,,,,,,,,
v-1464363687,,1,1,false,Canada,CA,2595,-110.654,50.037,Ultimate Spas & Power Sports,51a13d1c498eefd199359880,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/surfspot_,Board Shop,Board Shops,Board Shop,4bf58dd8d48988d1f1941735,AB,Foremost,true,,,,,,,,,,,,,,
v-1464363687,,1,2,false,Canada,CA,3272,-110.65938931622345,50.018143089824335,Gravity Sports,4ef229a7a69d22306c57cdb5,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_hockey_,Hockey,Hockey Arenas,Hockey Arena,4bf58dd8d48988d185941735,SK,Maple Creek,true,,,,,,,,,,,,,,
v-1464363687,,12,26,false,Canada,CA,31490,-110.26931290057831,49.956953332794896,Irvine Sportsplex,4ec981955c5ce271bfff24d0,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_hockey_,Hockey,Hockey Arenas,Hockey Arena,4bf58dd8d48988d185941735,AB,Brooks,true,,,,,,,,,,,,,,
v-1464363687,,2,3,false,Canada,CA,83090,-111.44496931159584,49.474951309243565,Foremost Sportsplex,4f1afd37e4b0850c83b8150b,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/default_,Shop,Miscellaneous Shops,Miscellaneous Shop,4bf58dd8d48988d1ff941735,,,,,,,,,,,,,,,,,
v-1464363687,,0,0,false,Canada,CA,87552,-109.48378086090088,49.91030705330614,Bowyer's Outdoor Sports,57072267498ed6d53811ca70,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,,,,,,,,,,,,,,,
v-1464363687,,,,false,Canada,CA,103915,-111.89785480499268,50.56558933589782,Sportside Source For Sports,55ed5a22498ea54db87960d2,,,,,,,,,,,,,,,,,,,,,,,,
v-1464363687,2,4,4,true,Canada,CA,4255,-81.38183591594769,48.47324211647307,Sport Chek Timmins Square,4c9bc77c5e1a952164f366f3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,ON,Timmins,true,P4R 1A1,https://www.sportchek.ca,Unit #A4,556a384aa7c8957d73d54f0d,262,,,,,,,,,
v-1464363687,0,13,28,false,Canada,CA,1292,-81.34483337402344,48.48381712447329,Sportsplex,4d18cf5cbb64224b92fcc965,true,.png,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/skatingrink_,Skating Rink,Skating Rinks,Skating Rink,4bf58dd8d48988d168941735,ON,Timmins,true,P4N 3W2,http://www.sourceforsports.com/Stores/149-Source-For-Sports-Timmins.aspx,,,,,,,,,,,,
v-1464363687,,4,10,false,Canada,CA,1213,-81.34627667202837,48.49159894473845,Source For Sports Timmins,516311c8e4b02b32fa07c9bb,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,ON,Timmins,true,,,,,,,,,,,,,,
v-1464363687,,31,70,false,Canada,CA,1647,-81.33563878803798,48.47567933624797,Nikki's Sports Gallery,4dc9dc95d4c07b350109a841,true,.png,https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_,Sports Bar,Sports Bars,Sports Bar,4bf58dd8d48988d11d941735,ON,Timmins,true,,,,,,,,,,,,,,
v-1464363687,,1,1,false,Canada,CA,4246,-81.381778,48.473355,Sportscheck,4fe4ac0be4b0ee8c46489b6b,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,true,,,,,,,,,,,,,,
v-1464363687,,5,6,false,Canada,CA,2610,-81.360192,48.477773,Albert's Sports,4faea3bde4b0b84e1cc0d93a,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,true,,,,,,,,,,,,,,
v-1464363687,,4,6,false,Canada,CA,3535,-81.37053966522217,48.47306353106275,Northern Sports,4e00b8cba809170434368302,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,,,,,,,,,,,,,,,,,
v-1464363687,,1,1,false,Canada,CA,57084,-80.679871,48.769888,IFSS Sports Field,4fdbe042e4b0dd796b217379,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,,,,,,,,,,,,,,,,,
v-1464363687,2,50,155,true,Canada,CA,1469,-112.84039145829597,49.69949873002545,Sport Chek Park Place Mall,4b6de0e6f964a5201b982ce3,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Sporting Goods,Sporting Goods Shops,Sporting Goods Shop,4bf58dd8d48988d1f2941735,AB,Lethbridge,true,T1J 4L9,https://www.sportchek.ca,Unit BO1,,311,,,,,,,,,
v-1464363687,3,9,14,false,Canada,CA,1020,-112.8100848197937,49.69345236022906,Sport & Spine Physiotherapy Clinic Ltd,5731cd02cd10e0916d56adfb,true,.png,https://ss3.4sqi.net/img/categories_v2/building/medical_doctorsoffice_,Acupuncturist,Acupuncturists,Acupuncturist,52e81612bcbc57f1066b7a3b,AB,Lethbridge,true,T1J 3M1,http://sportspinephysio.ca,28th St And 30 Ave N,,,,,,,,,,,
v-1464363687,1,10,24,false,Canada,CA,783,-112.82910784896637,49.69615283499774,Alpenland Ski & Sport,4ee9585061aff2afcd7beb01,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/apparel_,Apparel,Clothing Stores,Clothing Store,4bf58dd8d48988d103951735,AB,Lethbridge,true,T1J 4R3,http://www.rockymountainturfclub.com,,,,,,,,,,,,
v-1464363687,0,17,49,false,Canada,CA,3513,-112.79793018051512,49.67185546032846,Sport Mart,4c2642c9a852c928914ae66c,true,.png,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/casino_,Casino,Casinos,Casino,4bf58dd8d48988d17c941735,AB,Lethbridge,true,T1H 2R8,http://www.marksmanguns.ca,,,,,,,,,,,,
v-1464363687,,3,3,false,Canada,CA,2390,-112.7904372,49.6902204,Bully's Sport & Entertainment Centre,4ecc83da10813651d9ff063c,true,.png,https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_,Athletics & Sports,Athletics & Sports,Athletics & Sports,4f4528bc4b90abdf24c9de85,AB,Lethbridge,true,T1J 0B2,http://www.sourceforsports.com/Stores/15-Bert-and-Macs-Lethbridge-Source-For-Sports.aspx,,,,,,,,,,,,
